emotion;path;in_set
0;0.png;Training
0;1.png;Training
2;2.png;Training
4;3.png;Training
6;4.png;Training
2;5.png;Training
4;6.png;Training
3;7.png;Training
3;8.png;Training
2;9.png;Training
0;10.png;Training
6;11.png;Training
6;12.png;Training
6;13.png;Training
3;14.png;Training
5;15.png;Training
3;16.png;Training
2;17.png;Training
6;18.png;Training
4;19.png;Training
4;20.png;Training
2;21.png;Training
0;22.png;Training
0;23.png;Training
3;24.png;Training
3;25.png;Training
5;26.png;Training
0;27.png;Training
3;28.png;Training
5;29.png;Training
3;30.png;Training
6;31.png;Training
3;32.png;Training
2;33.png;Training
3;34.png;Training
6;35.png;Training
6;36.png;Training
6;37.png;Training
0;38.png;Training
5;39.png;Training
0;40.png;Training
3;41.png;Training
4;42.png;Training
0;43.png;Training
6;44.png;Training
2;45.png;Training
3;46.png;Training
6;47.png;Training
2;48.png;Training
2;49.png;Training
2;50.png;Training
5;51.png;Training
5;52.png;Training
6;53.png;Training
4;54.png;Training
5;55.png;Training
0;56.png;Training
3;57.png;Training
4;58.png;Training
2;59.png;Training
6;60.png;Training
5;61.png;Training
3;62.png;Training
4;63.png;Training
3;64.png;Training
0;65.png;Training
4;66.png;Training
3;67.png;Training
0;68.png;Training
5;69.png;Training
4;70.png;Training
2;71.png;Training
4;72.png;Training
2;73.png;Training
0;74.png;Training
6;75.png;Training
0;76.png;Training
0;77.png;Training
5;78.png;Training
4;79.png;Training
3;80.png;Training
5;81.png;Training
3;82.png;Training
6;83.png;Training
2;84.png;Training
2;85.png;Training
4;86.png;Training
4;87.png;Training
5;88.png;Training
4;89.png;Training
0;90.png;Training
0;91.png;Training
6;92.png;Training
0;93.png;Training
6;94.png;Training
2;95.png;Training
2;96.png;Training
3;97.png;Training
4;98.png;Training
3;99.png;Training
3;100.png;Training
2;101.png;Training
6;102.png;Training
3;103.png;Training
4;104.png;Training
3;105.png;Training
2;106.png;Training
0;107.png;Training
2;108.png;Training
3;109.png;Training
2;110.png;Training
3;111.png;Training
6;112.png;Training
6;113.png;Training
3;114.png;Training
4;115.png;Training
4;116.png;Training
0;117.png;Training
3;118.png;Training
3;119.png;Training
0;120.png;Training
2;121.png;Training
0;122.png;Training
0;123.png;Training
3;124.png;Training
3;125.png;Training
0;126.png;Training
4;127.png;Training
5;128.png;Training
2;129.png;Training
4;130.png;Training
2;131.png;Training
5;132.png;Training
3;133.png;Training
0;134.png;Training
6;135.png;Training
6;136.png;Training
2;137.png;Training
2;138.png;Training
3;139.png;Training
2;140.png;Training
3;141.png;Training
3;142.png;Training
3;143.png;Training
3;144.png;Training
3;145.png;Training
4;146.png;Training
2;147.png;Training
2;148.png;Training
0;149.png;Training
0;150.png;Training
2;151.png;Training
6;152.png;Training
3;153.png;Training
4;154.png;Training
5;155.png;Training
3;156.png;Training
0;157.png;Training
2;158.png;Training
4;159.png;Training
5;160.png;Training
2;161.png;Training
3;162.png;Training
4;163.png;Training
6;164.png;Training
3;165.png;Training
4;166.png;Training
3;167.png;Training
6;168.png;Training
0;169.png;Training
4;170.png;Training
4;171.png;Training
4;172.png;Training
2;173.png;Training
6;174.png;Training
5;175.png;Training
5;176.png;Training
6;177.png;Training
5;178.png;Training
2;179.png;Training
3;180.png;Training
2;181.png;Training
3;182.png;Training
4;183.png;Training
0;184.png;Training
2;185.png;Training
0;186.png;Training
3;187.png;Training
0;188.png;Training
2;189.png;Training
2;190.png;Training
5;191.png;Training
3;192.png;Training
5;193.png;Training
5;194.png;Training
4;195.png;Training
3;196.png;Training
0;197.png;Training
6;198.png;Training
5;199.png;Training
2;200.png;Training
6;201.png;Training
0;202.png;Training
0;203.png;Training
4;204.png;Training
5;205.png;Training
6;206.png;Training
3;207.png;Training
5;208.png;Training
5;209.png;Training
3;210.png;Training
2;211.png;Training
2;212.png;Training
3;213.png;Training
3;214.png;Training
3;215.png;Training
3;216.png;Training
6;217.png;Training
3;218.png;Training
6;219.png;Training
3;220.png;Training
0;221.png;Training
6;222.png;Training
3;223.png;Training
2;224.png;Training
0;225.png;Training
6;226.png;Training
5;227.png;Training
6;228.png;Training
0;229.png;Training
5;230.png;Training
4;231.png;Training
3;232.png;Training
0;233.png;Training
3;234.png;Training
0;235.png;Training
4;236.png;Training
5;237.png;Training
4;238.png;Training
3;239.png;Training
3;240.png;Training
0;241.png;Training
0;242.png;Training
6;243.png;Training
2;244.png;Training
0;245.png;Training
6;246.png;Training
3;247.png;Training
0;248.png;Training
0;249.png;Training
6;250.png;Training
0;251.png;Training
5;252.png;Training
6;253.png;Training
3;254.png;Training
2;255.png;Training
5;256.png;Training
5;257.png;Training
2;258.png;Training
0;259.png;Training
2;260.png;Training
6;261.png;Training
6;262.png;Training
0;263.png;Training
2;264.png;Training
3;265.png;Training
4;266.png;Training
2;267.png;Training
6;268.png;Training
5;269.png;Training
2;270.png;Training
2;271.png;Training
6;272.png;Training
6;273.png;Training
6;274.png;Training
2;275.png;Training
5;276.png;Training
3;277.png;Training
0;278.png;Training
5;279.png;Training
0;280.png;Training
4;281.png;Training
3;282.png;Training
3;283.png;Training
3;284.png;Training
3;285.png;Training
6;286.png;Training
3;287.png;Training
2;288.png;Training
4;289.png;Training
6;290.png;Training
3;291.png;Training
2;292.png;Training
4;293.png;Training
0;294.png;Training
0;295.png;Training
3;296.png;Training
2;297.png;Training
0;298.png;Training
1;299.png;Training
2;300.png;Training
2;301.png;Training
5;302.png;Training
3;303.png;Training
5;304.png;Training
4;305.png;Training
4;306.png;Training
0;307.png;Training
2;308.png;Training
3;309.png;Training
4;310.png;Training
6;311.png;Training
4;312.png;Training
2;313.png;Training
2;314.png;Training
3;315.png;Training
5;316.png;Training
4;317.png;Training
4;318.png;Training
5;319.png;Training
6;320.png;Training
4;321.png;Training
5;322.png;Training
0;323.png;Training
3;324.png;Training
3;325.png;Training
3;326.png;Training
2;327.png;Training
5;328.png;Training
5;329.png;Training
5;330.png;Training
3;331.png;Training
5;332.png;Training
3;333.png;Training
3;334.png;Training
3;335.png;Training
5;336.png;Training
6;337.png;Training
0;338.png;Training
4;339.png;Training
2;340.png;Training
2;341.png;Training
0;342.png;Training
4;343.png;Training
5;344.png;Training
5;345.png;Training
6;346.png;Training
6;347.png;Training
3;348.png;Training
2;349.png;Training
4;350.png;Training
2;351.png;Training
4;352.png;Training
0;353.png;Training
5;354.png;Training
0;355.png;Training
3;356.png;Training
5;357.png;Training
2;358.png;Training
4;359.png;Training
0;360.png;Training
4;361.png;Training
5;362.png;Training
6;363.png;Training
3;364.png;Training
2;365.png;Training
3;366.png;Training
5;367.png;Training
0;368.png;Training
0;369.png;Training
3;370.png;Training
3;371.png;Training
2;372.png;Training
6;373.png;Training
0;374.png;Training
2;375.png;Training
6;376.png;Training
0;377.png;Training
3;378.png;Training
2;379.png;Training
3;380.png;Training
2;381.png;Training
6;382.png;Training
4;383.png;Training
3;384.png;Training
4;385.png;Training
4;386.png;Training
