emotion;path;in_set;fold
2;0.png;Training;3
2;1.png;Training;4
2;2.png;Training;3
2;3.png;Training;1
0;4.png;Training;3
2;5.png;Training;2
2;6.png;Training;4
1;7.png;Training;4
1;8.png;Training;2
2;9.png;Training;1
2;10.png;Training;4
0;11.png;Training;2
0;12.png;Training;3
0;13.png;Training;0
1;14.png;Training;4
1;16.png;Training;0
2;17.png;Training;0
0;18.png;Training;1
2;19.png;Training;2
2;20.png;Training;2
2;21.png;Training;4
2;22.png;Training;3
2;23.png;Training;1
1;24.png;Training;0
1;25.png;Training;3
2;27.png;Training;3
1;28.png;Training;1
1;30.png;Training;0
0;31.png;Training;4
1;32.png;Training;4
2;33.png;Training;2
1;34.png;Training;1
0;35.png;Training;0
0;36.png;Training;1
0;37.png;Training;4
2;38.png;Training;3
2;40.png;Training;3
1;41.png;Training;0
2;42.png;Training;1
2;43.png;Training;1
0;44.png;Training;2
2;45.png;Training;3
1;46.png;Training;4
0;47.png;Training;2
2;48.png;Training;4
2;49.png;Training;1
2;50.png;Training;4
0;53.png;Training;0
2;54.png;Training;3
2;56.png;Training;3
1;57.png;Training;4
2;58.png;Training;3
2;59.png;Training;0
0;60.png;Training;3
1;62.png;Training;2
2;63.png;Training;0
1;64.png;Training;2
2;65.png;Training;4
2;66.png;Training;0
1;67.png;Training;3
2;68.png;Training;0
2;70.png;Training;4
2;71.png;Training;4
2;72.png;Training;1
2;73.png;Training;0
2;74.png;Training;0
0;75.png;Training;0
2;76.png;Training;3
2;77.png;Training;4
2;79.png;Training;0
1;80.png;Training;3
1;82.png;Training;4
0;83.png;Training;3
2;84.png;Training;1
2;85.png;Training;2
2;86.png;Training;3
2;87.png;Training;4
2;89.png;Training;0
2;90.png;Training;0
2;91.png;Training;1
0;92.png;Training;3
2;93.png;Training;3
0;94.png;Training;0
2;95.png;Training;0
2;96.png;Training;3
1;97.png;Training;1
2;98.png;Training;4
1;99.png;Training;2
1;100.png;Training;4
2;101.png;Training;3
0;102.png;Training;4
1;103.png;Training;3
2;104.png;Training;4
1;105.png;Training;3
2;106.png;Training;2
2;107.png;Training;0
2;108.png;Training;2
1;109.png;Training;1
2;110.png;Training;3
1;111.png;Training;0
0;112.png;Training;3
0;113.png;Training;3
1;114.png;Training;2
2;115.png;Training;4
2;116.png;Training;2
2;117.png;Training;2
1;118.png;Training;0
1;119.png;Training;0
2;120.png;Training;1
2;121.png;Training;4
2;122.png;Training;0
2;123.png;Training;0
1;124.png;Training;3
1;125.png;Training;1
2;126.png;Training;1
2;127.png;Training;2
2;129.png;Training;3
2;130.png;Training;1
2;131.png;Training;4
1;133.png;Training;3
2;134.png;Training;1
0;135.png;Training;0
0;136.png;Training;0
2;137.png;Training;1
2;138.png;Training;1
1;139.png;Training;0
2;140.png;Training;4
1;141.png;Training;2
1;142.png;Training;3
1;143.png;Training;4
1;144.png;Training;1
1;145.png;Training;3
2;146.png;Training;4
2;147.png;Training;4
2;148.png;Training;2
2;149.png;Training;3
2;150.png;Training;4
2;151.png;Training;3
0;152.png;Training;0
1;153.png;Training;1
2;154.png;Training;0
1;156.png;Training;3
2;157.png;Training;1
2;158.png;Training;4
2;159.png;Training;3
2;161.png;Training;4
1;162.png;Training;0
2;163.png;Training;2
0;164.png;Training;3
1;165.png;Training;4
2;166.png;Training;4
1;167.png;Training;1
0;168.png;Training;4
2;169.png;Training;3
2;170.png;Training;2
2;171.png;Training;1
2;172.png;Training;0
2;173.png;Training;0
0;174.png;Training;4
0;177.png;Training;1
2;179.png;Training;0
1;180.png;Training;0
2;181.png;Training;2
1;182.png;Training;0
2;183.png;Training;2
2;184.png;Training;1
2;185.png;Training;0
2;186.png;Training;1
1;187.png;Training;4
2;188.png;Training;4
2;189.png;Training;3
2;190.png;Training;1
1;192.png;Training;1
2;195.png;Training;0
1;196.png;Training;2
2;197.png;Training;1
0;198.png;Training;0
2;200.png;Training;1
0;201.png;Training;4
2;202.png;Training;4
2;203.png;Training;4
2;204.png;Training;4
0;206.png;Training;2
1;207.png;Training;4
1;210.png;Training;0
2;211.png;Training;0
2;212.png;Training;3
1;213.png;Training;2
1;214.png;Training;2
1;215.png;Training;3
1;216.png;Training;0
0;217.png;Training;3
1;218.png;Training;1
0;219.png;Training;0
1;220.png;Training;2
2;221.png;Training;3
0;222.png;Training;2
1;223.png;Training;2
2;224.png;Training;4
2;225.png;Training;0
0;226.png;Training;2
0;228.png;Training;3
2;229.png;Training;2
2;231.png;Training;3
1;232.png;Training;2
2;233.png;Training;2
1;234.png;Training;2
2;235.png;Training;0
2;236.png;Training;1
2;238.png;Training;0
1;239.png;Training;2
1;240.png;Training;1
2;241.png;Training;3
2;242.png;Training;1
0;243.png;Training;2
2;244.png;Training;1
2;245.png;Training;1
0;246.png;Training;0
1;247.png;Training;0
2;248.png;Training;4
2;249.png;Training;0
0;250.png;Training;2
2;251.png;Training;0
0;253.png;Training;2
1;254.png;Training;1
2;255.png;Training;1
2;258.png;Training;1
2;259.png;Training;2
2;260.png;Training;1
0;261.png;Training;0
0;262.png;Training;0
2;263.png;Training;4
2;264.png;Training;2
1;265.png;Training;3
2;266.png;Training;1
2;267.png;Training;0
0;268.png;Training;0
2;270.png;Training;2
2;271.png;Training;1
0;272.png;Training;4
0;273.png;Training;3
0;274.png;Training;2
2;275.png;Training;3
1;277.png;Training;2
2;278.png;Training;2
2;280.png;Training;3
2;281.png;Training;3
1;282.png;Training;2
1;283.png;Training;4
1;284.png;Training;4
1;285.png;Training;2
0;286.png;Training;3
1;287.png;Training;3
2;288.png;Training;1
2;289.png;Training;2
0;290.png;Training;1
1;291.png;Training;1
2;292.png;Training;3
2;293.png;Training;1
2;294.png;Training;2
2;295.png;Training;0
1;296.png;Training;0
2;297.png;Training;0
2;298.png;Training;4
2;299.png;Training;2
2;300.png;Training;4
2;301.png;Training;1
1;303.png;Training;1
2;305.png;Training;3
2;306.png;Training;3
2;307.png;Training;1
2;308.png;Training;1
1;309.png;Training;4
2;310.png;Training;3
0;311.png;Training;2
2;312.png;Training;4
2;313.png;Training;0
2;314.png;Training;4
1;315.png;Training;1
2;317.png;Training;0
2;318.png;Training;1
0;320.png;Training;1
2;321.png;Training;4
2;323.png;Training;0
1;324.png;Training;4
1;325.png;Training;4
1;326.png;Training;0
2;327.png;Training;3
1;331.png;Training;1
1;333.png;Training;4
1;334.png;Training;2
1;335.png;Training;1
0;337.png;Training;1
2;338.png;Training;4
2;339.png;Training;0
2;340.png;Training;1
2;341.png;Training;1
2;342.png;Training;0
2;343.png;Training;2
0;346.png;Training;0
0;347.png;Training;2
1;348.png;Training;4
2;349.png;Training;4
2;350.png;Training;1
